nombre,edad,habilidades,certificados,proyectos
Johan Cardona,24,"['HTML/CSS', 'Java', 'C++', 'Python', 'React']",1,"['https://www.perez-bonilla.com/', 'https://www.guerra.biz/']"
Maribel Yulieth Hernández,26,"['C++', 'JavaScript']",0,['https://www.correa.com/']
Enrique Henry Romero Melo,23,"['HTML/CSS', 'NodeJS', 'C++']",2,[]
Óscar Rojas,20,"['C++', 'HTML/CSS', 'Python', 'SQL']",2,[]
Adriana Elena Mendoza,18,"['Python', 'NodeJS']",4,['https://www.castro.com/']
Ana Hurtado,18,"['NodeJS', 'HTML/CSS']",1,"['https://correa.com/', 'https://www.alfonso.com/']"
José Miranda Velandia,24,"['React', 'NodeJS', 'Java', 'C++']",4,"['http://moreno.info/', 'http://ospina-alvarez.com/', 'https://arenas.com/']"
Enith María Alarcón Ramos,27,"['HTML/CSS', 'React']",4,"['https://www.murillo.biz/', 'https://rueda.com/', 'http://www.perez-sanchez.net/']"
Fernanda Rosero Ramos,28,"['Python', 'C++', 'HTML/CSS', 'JavaScript', 'SQL']",3,"['https://www.rodriguez.com/', 'https://www.trujillo.info/']"
Felipe Martín Castro,21,"['React', 'JavaScript']",2,[]
Fernanda Arévalo,30,"['Python', 'React', 'SQL', 'Java']",3,"['https://mendez.info/', 'http://www.benitez-agudelo.com/', 'http://arteaga.com/']"
Ester Liliana Correa,20,"['JavaScript', 'HTML/CSS', 'React']",1,"['http://www.fonseca-mendoza.org/', 'https://mesa-suarez.net/', 'https://correa-rosero.com/']"
Yolanda Guzmán Vallejo,23,"['SQL', 'HTML/CSS']",1,"['https://www.rios-gutierrez.net/', 'https://www.lopez-carrillo.com/']"
Anderson Carlos Rivera,18,"['NodeJS', 'C++', 'Python', 'JavaScript']",5,[]
Raquel Lucero Torres Murillo,30,"['C++', 'JavaScript']",5,['http://gutierrez.biz/']
Marina Murillo Jiménez,29,"['Java', 'Python']",0,"['https://gonzalez.com/', 'http://www.gutierrez.com/']"
Ricardo Marín Ávila,21,"['NodeJS', 'HTML/CSS', 'Python']",3,"['https://melo.net/', 'https://montes.biz/', 'http://www.vargas-garzon.com/']"
Enrique Gildardo Castro Peña,29,"['React', 'Python', 'NodeJS', 'Java']",0,"['https://triana.net/', 'http://www.rangel.biz/', 'http://www.toro.net/']"
