nombre,correo,password,rol,fecha_registro
Eugenia Caballero Suárez,constanzatrujillo@example.org,$2b$12$MktmTxeDiw.o2sHn3R313u104F3ECMEj2eHplb49MUChMUCzyKn2a,profesor,2025-03-08
Geovanny Alexis Jaramillo Camacho,linacabrera@example.org,$2b$12$BHSEOGXySGzirORznUq9Pud5.tf3pBTMMKRgB5OUBRF4OWFRi5.oi,profesor,2024-02-04
Ana Marta López,yolandaramirez@example.net,$2b$12$de80JMvlIf7Z.wf5MbVW.umFeeRYu0.E7eouL1chcyLRxwnQSH4bi,profesor,2023-10-22
Marco Pinto,lbetancur@example.net,$2b$12$soQDcj6cKGX2W19bPeoIXeSxBefz2D3LZWovP0xM5Z.M3nARhlwR2,estudiante,2024-08-26
Concepción Fanny Sepúlveda Pérez,burgosmaria@example.org,$2b$12$X23UbT8pnWUMD/tQZ.NWCOD.gR8EJJYjhZSclg9gv8QK.FU2i8Pau,estudiante,2024-03-18
Javier Mora,liseth84@example.net,$2b$12$nD5BilVTfjuUEaQA4D7fCuzTdFicO5/FMeIS4KefhaRtrldrQFroK,estudiante,2025-03-24
Edgar Mosquera,camilo09@example.org,$2b$12$Wp3iv9hVXQrrxnlV4pxh/ugnqXWWTycPRUWKd/dBvlhKdZquOmBNa,admin,2025-03-31
Pilar Bustamante,amercado@example.org,$2b$12$2aUoAE566IWTrf7nv1IBMuVJRvxwD7GM02lPeDlwOrQeiRHR3kGIi,estudiante,2024-07-08
Carlos Ávila,xcontreras@example.org,$2b$12$zao/h9vS7sJfJmII4ohBletg/YQ6AZG8eaGrh1o68ZcPN6d2sUrSG,estudiante,2023-11-22
Antonio Guerrero Jaramillo,ninoluz@example.com,$2b$12$Oinwtw1vKWLU3u6ZQGu30OE.HZi3gkFoJUp618BUKOCpxGufH2fZ.,estudiante,2024-11-11
Martha Martha Quiroz Gonzáles,carloscastrillon@example.org,$2b$12$Fd8rxbCo3R.1mpBag6ifj.qh1ir1UJKU/cYxi30tfuYxKiF/3iqi.,admin,2025-09-22
Gabriel Edwin Osorio,milton57@example.org,$2b$12$r7a72Nrp4YmgONq2PlGTlubkkcWwQtqWdZePfk1zs21MVZY3L0A6m,profesor,2023-11-16
Amanda Angie Triana Rivera,jhon05@example.org,$2b$12$1r0qIJATmZH1l4vHtOkaM.cqCoZBYh79/jogSJYbfVTVvqnVS2lYW,estudiante,2024-01-22
Juan Gómez Cardozo,orlandomolina@example.org,$2b$12$gqSx0QPWYkLLeNklFWh/deI.7KupubotuJcz4ofasQ3POhy1xPnBa,profesor,2025-03-12
Lucy Henao,oestrada@example.com,$2b$12$fJtLJn97SFgUJd9jQ1GoMerTQUNp.ubaAUkCgqsoehUdqVdJP69VS,estudiante,2025-04-18
Pablo Quintero Cardona,leidycorrea@example.net,$2b$12$sprP9kzpUEovK1irWMBY8uthyXAOKjicMy3EYwuhQzLuyyM2UIdqG,profesor,2024-02-03
Lucía Martha Arias Torres,fflorez@example.com,$2b$12$c.OreYAgj1JSO9kw0dogterrHKJjxwLjXtGXufkfim18vc3tgd0pO,estudiante,2024-06-16
Hilda Martínez,velasquezhernando@example.com,$2b$12$xFOeMKVg82OGVVjRVtf2A.H4bOzuJH7b..s8qBpfTgcxq.u7HbJWq,profesor,2024-08-21
Alfredo Jorge Franco,murillosergio@example.net,$2b$12$Z8rmMiFlEU9CAtSjPvmhw.tuptnDYqfeMvth2ZZZWEF0MsfoAmEpO,acudiente,2023-12-16
Jazmín Carmen Medina Granados,scarrillo@example.net,$2b$12$m0/LW2sVVdO8IADFSfrEuu5LTV7adbEmoiEEW810e8ZUugPj.cxce,acudiente,2024-05-11
Ismael Luis Triana,victoralarcon@example.com,$2b$12$KmvTv/0jdeLy5ytJPRQiWeGx/MeCoo/xOi1LwWMf1CS6M5VhBIabK,acudiente,2024-05-02
